tconst,primaryTitle,genres,averageRating,startYear,nconst,primaryName,category,primaryProfession
tt0009466,Out West,"Comedy,Short,Western",6.4,1918,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0009899,Back Stage,"Comedy,Short",6.5,1919,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0010155,The Garage,"Comedy,Short",6.7,1920,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0010221,The Hayseed,"Comedy,Short",6.0,1919,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0011071,Convict 13,"Comedy,Crime,Short",7.1,1920,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0011071,Convict 13,"Comedy,Crime,Short",7.1,1920,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0011071,Convict 13,"Comedy,Crime,Short",7.1,1920,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0011508,Neighbors,"Comedy,Romance,Short",7.6,1920,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0011508,Neighbors,"Comedy,Romance,Short",7.6,1920,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0011508,Neighbors,"Comedy,Romance,Short",7.6,1920,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0011541,One Week,"Comedy,Short",8.1,1920,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0011541,One Week,"Comedy,Short",8.1,1920,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0011541,One Week,"Comedy,Short",8.1,1920,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0011652,The Saphead,"Comedy,Drama,Romance",6.1,1920,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0011656,The Scarecrow,"Comedy,Family,Short",7.8,1920,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0011656,The Scarecrow,"Comedy,Family,Short",7.8,1920,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0011656,The Scarecrow,"Comedy,Family,Short",7.8,1920,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0011984,The Boat,"Comedy,Family,Short",7.1,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0011984,The Boat,"Comedy,Family,Short",7.1,1921,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0011984,The Boat,"Comedy,Family,Short",7.1,1921,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0012224,The Goat,"Comedy,Short",7.7,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012224,The Goat,"Comedy,Short",7.7,1921,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0012224,The Goat,"Comedy,Short",7.7,1921,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0012253,Hard Luck,"Comedy,Short",6.9,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012253,Hard Luck,"Comedy,Short",6.9,1921,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0012253,Hard Luck,"Comedy,Short",6.9,1921,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0012255,The Haunted House,"Comedy,Horror,Short",6.9,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012255,The Haunted House,"Comedy,Horror,Short",6.9,1921,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0012255,The Haunted House,"Comedy,Horror,Short",6.9,1921,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0012278,The 'High Sign',"Action,Comedy,Short",7.6,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012278,The 'High Sign',"Action,Comedy,Short",7.6,1921,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0012278,The 'High Sign',"Action,Comedy,Short",7.6,1921,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0012543,The Paleface,"Comedy,Short,Western",6.8,1922,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012543,The Paleface,"Comedy,Short,Western",6.8,1922,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0012543,The Paleface,"Comedy,Short,Western",6.8,1922,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0012570,The Play House,"Comedy,Fantasy,Short",7.5,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012570,The Play House,"Comedy,Fantasy,Short",7.5,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012570,The Play House,"Comedy,Fantasy,Short",7.5,1921,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012570,The Play House,"Comedy,Fantasy,Short",7.5,1921,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0012570,The Play House,"Comedy,Fantasy,Short",7.5,1921,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0012945,The Blacksmith,"Comedy,Short",6.8,1922,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0012945,The Blacksmith,"Comedy,Short",6.8,1922,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0012945,The Blacksmith,"Comedy,Short",6.8,1922,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0013025,Cops,"Comedy,Family,Short",7.6,1922,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0013025,Cops,"Comedy,Family,Short",7.6,1922,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0013025,Cops,"Comedy,Family,Short",7.6,1922,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0013055,Day Dreams,"Comedy,Short",6.8,1922,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0013055,Day Dreams,"Comedy,Short",6.8,1922,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0013055,Day Dreams,"Comedy,Short",6.8,1922,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0013099,The Electric House,"Comedy,Short",7.1,1922,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0013099,The Electric House,"Comedy,Short",7.1,1922,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0013099,The Electric House,"Comedy,Short",7.1,1922,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0013158,The Frozen North,"Comedy,Short,Western",6.5,1922,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0013158,The Frozen North,"Comedy,Short,Western",6.5,1922,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0013158,The Frozen North,"Comedy,Short,Western",6.5,1922,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0013422,My Wife's Relations,"Comedy,Short",6.6,1922,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0013422,My Wife's Relations,"Comedy,Short",6.6,1922,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0013422,My Wife's Relations,"Comedy,Short",6.6,1922,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0013858,The Balloonatic,"Comedy,Short",6.6,1923,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0013858,The Balloonatic,"Comedy,Short",6.6,1923,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0013858,The Balloonatic,"Comedy,Short",6.6,1923,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0014218,The Love Nest,"Comedy,Short",6.8,1923,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0014218,The Love Nest,"Comedy,Short",6.8,1923,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0014218,The Love Nest,"Comedy,Short",6.8,1923,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0014341,Our Hospitality,"Comedy,Romance,Thriller",7.8,1923,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0014341,Our Hospitality,"Comedy,Romance,Thriller",7.8,1923,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0014538,Three Ages,Comedy,7.0,1923,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0014538,Three Ages,Comedy,7.0,1923,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0015163,The Navigator,"Action,Adventure,Comedy",7.5,1924,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0015163,The Navigator,"Action,Adventure,Comedy",7.5,1924,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0015324,Sherlock Jr.,"Action,Comedy,Romance",8.2,1924,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0015324,Sherlock Jr.,"Action,Comedy,Romance",8.2,1924,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0015324,Sherlock Jr.,"Action,Comedy,Romance",8.2,1924,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0015863,Go West,"Comedy,Western",7.1,1925,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0015863,Go West,"Comedy,Western",7.1,1925,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0015863,Go West,"Comedy,Western",7.1,1925,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0015953,The Iron Mule,"Comedy,Short",5.8,1925,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0016332,Seven Chances,"Comedy,Romance",7.8,1925,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0016332,Seven Chances,"Comedy,Romance",7.8,1925,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0016630,Battling Butler,"Comedy,Sport",7.0,1926,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0016630,Battling Butler,"Comedy,Sport",7.0,1926,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0017765,College,"Comedy,Drama,Sport",6.9,1927,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0017925,The General,"Action,Adventure,Comedy",8.1,1926,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0017925,The General,"Action,Adventure,Comedy",8.1,1926,nm0000036,Buster Keaton,director,"actor,writer,director"
tt0017925,The General,"Action,Adventure,Comedy",8.1,1926,nm0000036,Buster Keaton,writer,"actor,writer,director"
tt0018742,The Cameraman,"Comedy,Drama,Family",8.0,1928,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0019421,"Steamboat Bill, Jr.","Action,Comedy,Drama",7.8,1928,nm0000036,Buster Keaton,actor,"actor,writer,director"
tt0019777,The Cocoanuts,"Comedy,Musical,Romance",6.8,1929,nm0000050,Groucho Marx,actor,"actor,writer,director"
tt0006371,Arms and the Woman,Drama,6.8,1916,nm0000064,Edward G. Robinson,actor,"actor,writer,soundtrack"
tt0013892,The Bright Shawl,"Adventure,Drama",6.3,1923,nm0000064,Edward G. Robinson,actor,"actor,writer,soundtrack"
tt0019992,The Hole in the Wall,"Drama,Mystery",5.7,1929,nm0000064,Edward G. Robinson,actor,"actor,writer,soundtrack"
tt0020056,The Kibitzer,Comedy,5.4,1930,nm0000064,Edward G. Robinson,writer,"actor,writer,soundtrack"
tt0016029,The Little Colonel,"Comedy,Family,Musical",7.0,1935,nm0000073,Shirley Temple,actress,"actress,writer,miscellaneous"
tt0003679,Between Showers,"Comedy,Short",5.4,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003733,A Busy Day,"Comedy,Short",4.7,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003758,Caught in a Cabaret,"Comedy,Short",5.7,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003760,Caught in the Rain,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003760,Caught in the Rain,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,director,"writer,actor,director"
tt0003805,"Cruel, Cruel Love","Comedy,Romance,Short",5.3,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003805,"Cruel, Cruel Love","Comedy,Romance,Short",5.3,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003863,Dough and Dynamite,"Comedy,Short",5.9,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003923,The Face on the Barroom Floor,"Comedy,Short",5.2,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003934,The Fatal Mallet,"Comedy,Short",5.4,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0003961,A Film Johnnie,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004007,Gentlemen of Nerve,"Comedy,Short",5.5,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004011,A Fair Exchange,"Comedy,Short",5.5,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004011,A Fair Exchange,"Comedy,Short",5.5,1914,nm0000122,Charles Chaplin,writer,"writer,actor,director"
tt0004091,His Favorite Pastime,"Comedy,Short",5.0,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004100,His Musical Career,"Comedy,Short",5.9,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004101,His New Profession,"Comedy,Short",5.9,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004102,His Prehistoric Past,"Comedy,Short",5.3,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004102,His Prehistoric Past,"Comedy,Short",5.3,1914,nm0000122,Charles Chaplin,writer,"writer,actor,director"
tt0004108,His Trysting Place,"Comedy,Short",6.2,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004108,His Trysting Place,"Comedy,Short",6.2,1914,nm0000122,Charles Chaplin,director,"writer,actor,director"
tt0004108,His Trysting Place,"Comedy,Short",6.2,1914,nm0000122,Charles Chaplin,writer,"writer,actor,director"
tt0004189,Kid Auto Races at Venice,"Comedy,Short",5.7,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004194,The Knockout,"Comedy,Short",5.7,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004210,Laughing Gas,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004277,Mabel at the Wheel,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004280,Mabel's Busy Day,"Comedy,Short",5.4,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004282,Mabel's Married Life,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004282,Mabel's Married Life,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,writer,"writer,actor,director"
tt0004284,Mabel's Strange Predicament,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004288,Making a Living,"Comedy,Short",5.5,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004311,The Masquerader,"Comedy,Short",5.9,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004311,The Masquerader,"Comedy,Short",5.9,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004311,The Masquerader,"Comedy,Short",5.9,1914,nm0000122,Charles Chaplin,writer,"writer,actor,director"
tt0004395,The New Janitor,"Comedy,Short",6.1,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004499,The Property Man,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004499,The Property Man,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,director,"writer,actor,director"
tt0004518,Recreation,"Comedy,Short",5.0,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004546,The Rounders,"Comedy,Short",6.2,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004546,The Rounders,"Comedy,Short",6.2,1914,nm0000122,Charles Chaplin,writer,"writer,actor,director"
tt0004637,The Star Boarder,"Comedy,Short",5.3,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004670,Tango Tangles,"Comedy,Short",5.2,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004693,Those Love Pangs,"Comedy,Short",5.4,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004707,Tillie's Punctured Romance,Comedy,6.2,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004736,Twenty Minutes of Love,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0004736,Twenty Minutes of Love,"Comedy,Short",5.6,1914,nm0000122,Charles Chaplin,director,"writer,actor,director"
tt0004936,The Bank,"Comedy,Short",6.6,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005044,By the Sea,"Comedy,Short",5.8,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005074,The Champion,"Comedy,Short,Sport",6.7,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005077,A Burlesque on Carmen,"Comedy,Short",6.0,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005489,His New Job,"Comedy,Short",6.1,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005542,In the Park,"Comedy,Short",5.6,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005571,A Jitney Elopement,"Comedy,Short",5.9,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005758,Mixed Up,"Comedy,Short",7.6,1915,nm0000122,Charles Chaplin,archive_footage,"writer,actor,director"
tt0005810,A Night Out,"Comedy,Short",5.9,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005812,A Night in the Show,"Comedy,Short",6.4,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0005812,A Night in the Show,"Comedy,Short",6.4,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0006032,Shanghaied,"Comedy,Short",6.2,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0006177,The Tramp,"Comedy,Short",6.9,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0006309,A Woman,"Comedy,Short",6.4,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0006309,A Woman,"Comedy,Short",6.4,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0006313,Work,"Comedy,Short",6.2,1915,nm0000122,Charles Chaplin,actor,"writer,actor,director"
tt0006414,Behind the Screen,"Comedy,Romance,Short",6.9,1916,nm0000122,Charles Chaplin,actor,"writer,actor,director"
